path,criticality,total_lines,ai_lines,automation_lines
apps/web/lib/offline.ts,STANDARD,188,188,0
docs/ip/PLATON_IP_ASSIGNMENT.md,STANDARD,188,188,0
apps/web/components/gekta/GektaVoiceInput.tsx,PROTECTED_PRODUCT_UI,186,186,0
docs/gekta/legal-source-audit-20260812.md,STANDARD,186,186,0
docs/platform-v7/crop-platform/p0.2-1a-legacy-fgis-quarantine.md,STANDARD,184,184,0
apps/api/scripts/seed-design-system-v8-identities.mjs,STANDARD,183,183,0
apps/api/src/modules/ai-insights/ai-assistant-admission.manifest.ts,STANDARD,183,183,0
apps/api/src/modules/accounting/reconciliation.policy.ts,CROWN_JEWEL,181,181,0
apps/api/src/modules/auth/document-format.policy.ts,CROWN_JEWEL,181,181,0
scripts/ip/verify-qwen-immutability.mjs,STANDARD,181,181,0
infra/clickhouse/schema.sql,STANDARD,180,180,0
apps/api/prisma/migrations/20260816210000_pc_crop_work_task_period_link/migration.sql,STANDARD,179,179,0
infra/nginx/nginx.conf,STANDARD,179,179,0
docs/ip/AI_ASSISTED_PROVENANCE.md,STANDARD,177,177,0
scripts/ip/sbom-coverage-model.mjs,STANDARD,177,177,0
docs/ip/OWNERSHIP_CLAIMS_POSITION.md,STANDARD,176,176,0
.github/workflows/ci-postgres-image-mirror.yml,STANDARD,175,175,0
infra/k6/production-load.js,STANDARD,173,173,0
apps/api/prisma/migrations/20260802150000_fgis_legacy_quarantine_audit/migration.sql,STANDARD,172,172,0
apps/api/prisma/migrations/20260815210000_pc_crop_accounting_read_authority/migration.sql,STANDARD,172,172,0
apps/web/lib/commercial-workspace-repository.ts,STANDARD,172,172,0
scripts/check-ci-postgres-image-authority.test.mjs,STANDARD,172,172,0
scripts/ip/similarity-adjudication.test.mjs,STANDARD,172,172,0
apps/api/src/modules/accounting/accounting-document-version.repository.ts,CROWN_JEWEL,170,170,0
apps/api/src/modules/export-trade/export-trade.service.ts,STANDARD,170,170,0
apps/api/src/modules/regulatory-integration/fgis-grain/fgis-grain-quarantine-audit-principal.spec.ts,STANDARD,170,170,0
apps/api/src/modules/accounting/connection-center.policy.ts,CROWN_JEWEL,169,169,0
apps/api/prisma/migrations/20260815230000_pc_crop_accounting_write_authority/migration.sql,STANDARD,168,168,0
apps/web/tests/e2e/deal-cycle-e2e-simulation.spec.ts,STANDARD,168,168,0
docs/ip/CHAIN_OF_TITLE_REGISTER.md,STANDARD,168,168,0
packages/integration-sdk/src/adapters/smev.adapter.ts,CROWN_JEWEL,167,167,0
scripts/ip/deminimis-adjudication.mjs,STANDARD,167,167,0
apps/api/src/modules/accounting/advance.policy.ts,CROWN_JEWEL,164,164,0
apps/api/src/modules/auth/opaqueTokenAuthority.spec.ts,CROWN_JEWEL,164,164,0
apps/web/lib/commercial-expansion-server.ts,STANDARD,164,164,0
